reponse,label
vacance club med intéresser aimer découvrir vie coutume habitude local préférer pays chaud proximité soleil mer lac nature montagne adorer apprendre chose constamment besoin cerveau stimuler émotion sensation savoir contact sens légèrement déprimé vide aimer littérature histoire géopolitique géographi poésie peinture activité artistique philosophie également vrai passion romantisme,1
vacance reposant bahahaha vrai aimer bronzer place exemple savoir besoin sortir monde minimum sociabilité timide penser ambivert besoin sortir rester enfermer journée sentir mal culpabiliser prendre sortir ami musée piqu nique découvrir ville village connaître plaire sincèrement penser passer temps favori dison besoin sorte passion vivre bahaha savoir expliquer besoin obsession musique série moment kpop vouloir ducoup passer temps préférer écouter musique sortir ami mem centre interêt,1
découverte lieu histoire lieu rencontre local flemme aller plage bleu vouloir imprégner espace découverte spécialement aimer rester passer extérieur convier sortir ami aller cinéma manger aimer entourer passer temps favori,1
dépendre année quantité travail fan grand voyage déranger quitter pays aimer ami petit location groupe 5 6 ami savoir respecter limite mo environnement parfait idéalement plage fan activité culturel visiter musée monument groupe genre chose préférer faire vacance groupe tendre avantage chill plage aimer faire faire 3 instrument dessiner lire uniquement instruire lire philo pratiquer sport prendre plaisir faire chose occasion vanter mdr,1
baigner spring adorer eau vue paysage,1
voyager vacance prévoir temps étudier choisir voyager occasion planifier emploi temps étude terminer devoir aimer sortir davantage vouloir rester maison étude important planifier temps laisse temps étude trouver chose faire vacance rester simplement maison ski skateboard moto sport permettre oublier souci pousser adrénaline rapide aimer sensation vitesse aimer faire artisanat puzzle lego aimer sentiment accomplissement terminer,1
type vacance préférer visiter petit ville plage prendre photo essayer type plat pouvoir écouter musique tranquillement rencontrer hasard revoir idéal pouvoir reposer passe temps favori dormir écouter musique sortir prendre air faire shopping boire thé amie gossip,1
play computer games such ns ps5 with family member or friends date with friends sorry can write in french chat with friends or family member,1
aimer partir voyage vacance étranger rimbaud vie long voyage constituer rupture vie quoditienn aide chercher signification existence voyage montre possibilité mode vivre enseigne habitude alimentaire morale social vivre région distinguer étonnant refléchir pouvoir éviter prendre habitude règle approfondir compréhension vie continuellement voyage opportunité oublier routine ennuyeux activité philosophique fortiori profiter gastronomie territorial enchanter paysage agréable préférer voyager vacance lecture cultiver chercher paix intérieur sport rester forme garder corps santé jeu vidéo évacuer émotion négatif tuer boss maléfique,1
préférer jour week end prendre vacance hiver déjà aimer voyage aimer plan voyage fatiguant intéressant besoin long vacance faire voyage pouvoir plan long vacance gaspillage temps aller passer faire jouer smartphone lit canapé valoir mieux jour week end court savoir chérir temps pouvoir faire plan mettre oeuvre motiver faire nettoyage sport étudier jouer mahjong nager lire roman internet aimer jouer volley étranger loin ami équipe tendance faire chose pouvoir faire aimer jouer volley sortir ami,1
aimer vacance liberté absolu tâche supplémentaire besoin penser avenir pression travailler étudier aimer vacance épanouissant participe type activité chant danse sport ami shopping voyage chanter danser cuisinier voyager regarder film programme diversité dormir passe temps préférer raison explicite passe temps détendre,1
journée gérer travail dur journée voyage commando journée coucher maison cuisiner tranquillement cuisiner couper vidéo voyager,1
romantique libre bord mer amour ami aranya,1
préférer amuser ami faire voyage falloir profiter temps amuser hhh sortir ami regarder film,1
rester maison aller chercher amie vacance long vouloir voyager coucher jouer téléphone faire repas,1
voyager semaine fatigant aimer peinture natation tennis pouvoir constamment penser améliorer faire chose,1
vacance aimer peindre maison retrouver ami aller vide grenier aller ami dîner discuter vacance long pouvoir prévoir voyage lointain agréable ami activité préférer lecture exercice penser lecture permettre esprit faire exercice exercice permettre corps rester condition soir aller coucher prendre livre électronique lire temps livre économique roman agir livre science technologie pouvoir endormir temps besoin mélatonine exercice physique aide également passer nuit sommeil réveiller lendemain énergie,1
"allonger à le plage en été ; ski en hier ; thekking sauf hiver 
 le activité dans le nature , car le neture me permettre de déstresser",0
"je aimer bien visiter le parc et musée . ce être bien pour mon santé mental et un bon moyen pour apprendre et écouter moi - même . 
 je préférer jouer à jeu vidéo pour tuer le temps et apprécier le art et le histoire que ce jeu avoir exprimer .",0
"si je avoir plus ou moins un mois pour le vacance , je aller probablement aller visiter un site touristique tout seul ou avec mon ami ou famille . mais dans le plupart de cas , je préférer de rester chez moi pour respirer un peu tranquillement . 
 je aller rester à le maison pour écouter de le musique , jouer à jeu vidéo , etc. et parfois je faire un promenade dans le petit jardin près de chez moi . le activité en groupe ne me intéresser pas trop .",0
"j’ aimer bien le vacance chill . j’ aimer bien aller dans un petit ville à côté de le plage , je pouvoir aller visiter ce ville ou passer de temps tranquille sur le plage . parce que j’ aimer bien le plage et je profiter bien de visiter un nouveau ville , je trouver que chaque ville avoir toujours un ambiance différent . si je ne faire pas de voyage pendant mon vacance , j’ aimer bien passer plus de temps à faire de   je passer aussi longtemps à le maison . et je pouvoir avoir le temps de lire un livre et de regarder un manga . je pouvoir profiter de temps pour faire un chose que je n’ avoir généralement pas le temps de faire comme faire un cocktail 
 Normalement j’ aimer bien rester à le maison et passer de temps tranquillement , je pouvoir regarder un série , un anime , et un film qui me intéresser , je penser que celer m’ aider à récupérer un énergie , je me soulager beaucoup .   et j’ aimer aussi sortir avec un ami et faire de sport parfois . par exemple , quand je faire de skateboard à un skatepark , ce être intéressant de croiser un gens très différent .   j’ aimer aussi le shopping en ligne , je trouver celer plus convivial et je pouvoir parcourir beaucoup de marque qui me intéresser très vite .",0
"voyage ou rester chez moi ！ 
 film , lorsque je regarder le film j’ oublier le souffrance de le vie ！ Hahaha je préférer lire quelque chose , car celer me permettre de relâcher l’ esprit et favoriser mon connaissance …",0
"Dormez , dessiner , lire , apprendre un nouveau langue et pratiquer le flûte . passer le examen de permettre de conduire , passer le test . pas vraiment avoir de raison 
 regarder un jeu de horreur en direct quand il pleuvoir . si possible , allumer un bâton de bois de santal et vous vous sentir alors heureux",0
"partir en vacance avec quelque ami , dans un maison … ne pas faire grand chose , visiter , se balader , se reposer , vraiment le fait de vivre ensemble à plusieurs , sans faire le fête … 
 je préférer écouter de le musique , lire , jouer à jeu vidéo avec un ami , ou sortir me balader avec un ami : ce passer temps me permettre de me couper de monde ou de passer de bon temps avec un ami",0
"je préférer être avec le gens que je choisir plutôt que de aller dans le endroit que je choisir . le pire type de vacance être de suivre notre parent quand on être enfant et de visiter beaucoup de ville , de regarder un monument etc. je préférer le tranquillité et passer de bon temps avec mon ami . 
 je aimer jouer à jeu vidéo car ce être un environnement virtuel dans lequel on pouvoir progresser , il y avoir beaucoup de challenge tout en être un activité social . je joue aussi beaucoup à échec , sur internet comme dans un tournoi réel .",0
"rester chez moi à lire et jouer avec mon proche ( chéri , colocataire , chat , chien ) j’ adorer passer de temps calme loin de bruit de le ville , 
 pourquoi pas le montagne si je devoir choisir un lieu 
 j’ adorer lire , ecouter de le musique , jouer à jeu videos , me renseigner sur le géopolitique 
 j’ adorer faire le cuisine , faire le ménage 
 tout ce chose me détendre , m’ aider à passer le temps . me renseigner sur l’ état actuel de monde me permettre d’ avoir quand même un attache au réel",0
"mon type de vacance préférer être lorsque je reste chez moi , dans mon ville . je pouvoir sortir quand je me sentir le envie de le faire et me reposer chez moi quand mon batterie social ne être pas encore charger . ce type de vacance pouvoir paraître plan plan mais quand on avoir un quotidien qui être charger de nouveau idée et de beaucoup de stress , on ne rêve que de un chose : se reposer , ne rien faire et ne rien penser . 
 je apprécier énormément découvrir ( et donc regarder ) de nouveau film avec un humour un peu décaler ( comme Dumb et Dumber ) ou un scénario extrêmement cliché . ce dernier me donner un grand joie de vivre . je aimer aussi jouer à jeu - vidéo , je pouvoir me évader et aussi améliorer mon réflexe et mon logique .",0
"quand je pouvoir voyager et découvrir un nouveau lieu , où me reposer avec un promenade et visiter de nouveau lieu comme un musée et parfois ne rien faire aussi 
 lire de roman , de manga ou de essai , je faire de hip-hop , me promener et voir mon pote !",0
"le road trip . l’ idéal être de louer un voiture dans un pays avec de relief ( Islande , Italie de nord , Iran , Pérou ) et de rouler tout droit tout en s’ arrêter lorsque l’ on percevoir un élément de paysage intéressant . 
 le sport car j’ aimer le compétition . le musique et l’ écriture car j’ aimer créer avec l’ intention que celer pouvoir servir à inspirer d’ autre personne derrière .",0
"un vacance chez soi sans que il y être de chose à faire , plus simplement , un long moment de repos où je ne avoir pas besoin de répondre à besoin de autre . et si je avoir envie , peut-être sortir avec mon amie pour papoter un peu . 
 lire un roman et écouter de le musique , ou sinon en ce moment je aimer bien jouer à un jeu en rapport avec le maths . le roman car je pouvoir ' vivre ' un autre vie ou bien en observer . le musique puisque ce être relaxant ? et le maths car je avoir envie de faire bouger mon cerveau .",0
"partir dans un endroit que je ne connaître pas , cela pouvoir être en France comme en Europe , dans l’ idéal en train ou au pire en voiture , pour moins polluer , et découvrir le ville et aussi le zone plus reculer de ce endroit . ce qui compte c’ être de s’ imprégner de mode de vie local et de découvrir le culture , le gastronomie etc. tout en s’ amusant avec son ami en sortir le soir dans le rue où goûtant le alcool local par exemple . 
 - le travail manuel : acquérir un compétence pour pouvoir fabriquer quelque chose de moi même être quelque chose de très gratifier . par exemple le crochet , le tricot , le broderie ou le couture . un chose comme le calligraphie ou le origami pouvoir se rattacher à ce catégorie . souvent de activité que je pouvoir faire seul 
 - apprendre de nouveau chose , que cela être   dans le domaine mathématique ou même de nouveau alphabet ou concept philosophique : me renseigner et sentir que j’ étendre mon culture 
 - sortir avec le amis/ voir mon famille pour me sentir entourer",0
"le vacance , pour moi , être synonyme d’ aventure plus que de repos . que ce être en randonnée dans le montagne ou en van pour découvrir de nouveau contrée , j’ aimer l’ exploration et le découverte ainsi que ce sensation de vivre quelque chose de fort . j’ avoir besoin de sentir ce liberté et ce enthousiasme vif procurer par le proximité avec le nature et le découverte d’ endroit magnifique . dans ce moment , je me sentir privilégier de pouvoir vivre ce expérience , d’ autant plus lorsqu’ il se passer un chose qui sortir de commun . par exemple , apercevoir un animal sauvage ou un phénomène naturel inattendu ( comme un spectre de Brocken ou un arc-en-ciel ) être un source d’ émerveillement . j’ aimer aussi le hasard de rencontre , le moment de bonté et de partage   ; même si le personne être plus ou moins sympathique , j’ avoir tendance à dire oui à leur proposition pour découvrir l’ univers sur lequel lui déboucher . l’ activité physique et le prise de risque ( enfin , juste un peu ) être également important pour moi car lui être stimulant . en bref , j’ aimer avoir l’ impression que je voir quelque chose d’ incroyable , celer venir me nourrir à l’ intérieur . au contraire , lorsque je ne faire rien de mon vacance , je me sentir frustrer , comme si je gâcher mon temps et que je passer à côté de quelque chose . 
 j’ avoir plutôt besoin de diversité dans mon vie , si bien que j’ aimer alterner entrer un passe-temps de différent type . j’ aimer beaucoup me promener dans le nature , pour le côté apaisant et vivifiant que celer apporter . j’ aimer passer de temps avec mon copain , avoir un discussion profond avec luire , un moment drôle , un instant sensuel , car tout celer me nourrir beaucoup et me faire me sentir connecter à luire . c’ être important pour moi d’ avoir un espace où je pouvoir parler de façon intime et sincère , pour partager un expérience , un émotion , notre intériorité . j’ apprécier aussi de plus en plus sortir avec d’ autre groupe d’ ami , pour me sentir intégrer dans un sorte de tout et me laisser porter par l’ énergie de groupe , comme si j’ être en immersion . j’ avoir toutefois de mal à être complètement spontané , parfois . en ce moment , j’ aimer également faire de théâtre d’ improvisation , ce qui me permettre de gagner en confiance en moi , de vivre mon imaginaire et de partager un moment drôle en groupe . mais , à côté de tout celer , j’ avoir également besoin d’ avoir un moment seul , où je pouvoir me mettre dans mon bulle et ne m’ occuper que de moi , sans regard extérieur . dans ce moment -là , j’ aimer cuisiner , écrire ou jouer à un jeu en ligne . enfin , j’ aimer beaucoup le animal , notamment le chat , et je pouvoir passer beaucoup de temps à jouer avec lui ou à son faire un câlin , comme si celer créer un forme de symbiose .",0
"je penser que je préférer le vacance à le mer ( je supporter mieux le chaleur que le froid et c’ être mieux pour montrer que je faire de sport ) mais dans le réalité je ne partir pas en vacance ( j’ être pauvre ) être je reste chez moi à me divertir et dormir être je aller chez mon grand - parent , et cela me aller très bien aussi . 
 je passer mon temps à lire et regarder un film pour avoir un culture suffisant et pouvoir tenir un conversation dans ce domaine , je joue à jeu vidéo pour passer de temps avec mon pote qui habiter loin et je faire de le musique pour m’ exprimer tout en pratiquer un art .",0
"ce ne être pas par rapport à vacance mais en général je ne prévoir pas forcément de faire quelque chose de spécifique je voir en fonction de mon envie 
 je aimer rester chez moi à vaquer à mon occupation ( écouter de le musique , jeu vidéo , regarder un série ect )",0
"aller dans un endroit sur lieu visuellement beal 
 visiter de grand ville 
 essayer de se fondre dans le vie de local 
 chercher un souvenir qui me permettre de me souvenir de ce voyage sur vacance / expérience tout mon vie 
 vivre un expérience en tester de nouveau chose ( cuisine , activité etc ) 
 faire / me offrir un chose que je ne faire pas en temps normal ( aller au spa , me offrir un chose onéreux ... ) 

 tout cela pour créer un distance avec le quotidien , mon environnement habituel , pouvoir déconnecter 
 me promener dans Paris , faire le magasin , trouver de nouveau concept store , aller au cinéma , lire un livre , faire un mot-mêlé , faire de petsitting",0
"je aimer beaucoup voyager ( que celer être en France ou à le étranger ) . le plus souvent je aller de un ville à un autre , mais quand je préférer être plus proche de le nature ( montagne sur océan ) .   pendant le vacance je aimer surtout me reposer et déconnecter complétement : je ne vouloir plus penser au travail , à le fac etc ... 
 je aimer beaucoup écrire , apprendre un langue étranger , aller dans un café , voir mon ami.e. , aller dans le musée ... faire de shopping aussi ( fripe , librairie ) .",0
"je préférer le vacance où je pouvoir rester chez moi et juste lire et regarder un série en paix . appeler mon amie pendant un heure , vivre le nuit . je aimer bien aussi faire un activité comme aller à le piscine et tout , mais je trouver cela très mentalement fatigant . 
 je adorer faire de le escalade . je aimer aussi beaucoup dessiner même si je dessiner pas souvent . je faire un peu de photographie ( mal ) . mais sinon je passer le plupart de mon temps libre à lire ou à regarder un série / film sur anime .",0
"mon type de vacance de rêve être d’ aller dans un pays étranger pour oublier le stress que m’ apporter mon quotidien en France . je être coincer dans un routine alors j’ aimer bien faire un activité qui m’ apporter de l’ adrénaline car j’ avoir un vie assez ennuyant .. 
 j’ aimer beaucoup lire un roman philosophique comme Dostoevsky , pouvoir je faire de le poterie et de Pilates quand l’ envie m’ en prendre … j’ aimer aussi sortir avec mon ami en faire un pique niqu ou en découvrir de nouveau restaurant avec lui . ce être un petit chose qui me permettre de rester connecter à moi même et à mon entourage car c’ être important de se cultiver soi et de se retrouver …",0
"je préférer le vacance où je pouvoir aussi bien me reposer que de découvrir un nouveau chose ( animal , activité de coin , culture , etc. ) que un nouveau lieu , notamment un lieu historique ( musée , château , etc. ) . se reposer ce être cool un moment de le journée mais je aimer trop apprendre pour ne rien faire de autre . je aimer aussi faire un activité sportif , je aimer bouger en fait . me reposer et bouger sinon je me ennuyer et je considérer que je perdre mon temps . le mot de mon vacance préférer ce être : découverte 
 je aimer lire , que ce être pour me évader ou pour apprendre , je aimer faire de sport pour repousser mon limite et devenir meilleur que hier , je aimer me balader et regarder le nature autour de moi ( le changement de saison ce être incroyable ) . je aimer apprendre de manière général donc je faire un recherche sur un sujet qui me intéresser ( article , livre , vidéo , podcasts ) . et je écoute énormément de musique . je adorer tout ce qui toucher à le art de manière général et le pratiquer ( peinture , musique , maquillage , écriture ) 

 en espérer que cela aider , bon courage !",0
"j’ aimer beaucoup voyager à l’ étranger , mon vacance idéal se passer donc dans un pays que je n’ avoir jamais visiter où le gens parler un autre langue et avoir un culture très différent de le mienne . j’ aimer visiter un monument historique , un musée , un lieu de culte . j’ aimer aussi voir de beal paysage donc je ne être pas contre un promenade ou randonnée dans le nature . et j’ adorer découvrir un plat traditionnel que je n’ avoir pas l’ occasion de manger en France . 
 mon passe-temps préférer être le photographie , l’ écriture et le musique . j’ avoir appareil photo depuis 2016 , j’ avoir commencer avec de le photo de paysage et je faire beaucoup de portrait ( fashion week ) et de photo de voyage aujourd’hui . j’ écrire pour le travail , c’ être mon métier de rédiger un article et autre document en ligne . mais j’ écrire aussi à titre personnel quand j’ avoir le temps , je ne penser pas me faire publier un jour mais j’ adorer créer un univers et de personnage . enfin , j’ écoute de le musique tout le jour , j’ aimer beaucoup découvrir de nouveau artiste , aller à un concert et danser . j’ aimer reprendre le danse en école dès que mon situation financier me le permettre d’ ailleurs .",0
"je aimer le vacance où je pouvoir me reposer et vivre un aventure en même temps , avec mon amie cela être idéal ! ! mon vacance rêver se faire à le étranger avec lui , et évidemment tout être organiser - je aimer que tout être prêt au détail près même si je savoir pertinemment que personne ne suivre mon plan . je aimer faire au préalable un liste de lieu à visiter ( si possible moins connu et plus proche de local ) et prévoir le repas à tester , le magasin à faire absolument etc 
 en réalité je préparer tout pour éviter de avoir un gros situation de embarras où on se retrouver sans logement pour le nuit par exemple , cela me angoisser énormément 
 je ne avoir pas de passe-temps favori , je aimer juste faire plein de petit chose à le fois . je aimer bien dessiner / griffonner , écrire sur mon vie comme si ce être un roman , écouter de le musique et découvrir de nouveau artiste si possible , sinon je regarder aussi énormément de série / anime sur film car chaque histoire me inspirer quelque chose de différent , je aimer être marquer émotionnellement par le contenu que je regarder . 
 je avoir tendance à être assez matérialiste alors je aimer aussi collectionner - au collège je collectionnai le poupée de collection en vinyle et le manga , et maintenant je me être plus axer dans le collection de photocard de kpop . plus récemment je avoir commencer à collectionner le petit block que on pouvoir retrouver à Daiso ( ce être un petit jouet à construire comme le lego un peu mais en plus compliqué )",0
"durer mon vacance , j’ aimer rester chez moi afin de me reposer et recharger mon batterie . généralement quand je partir en vacance , au bout d’ un journée , je m’ epuise et ressentir l’ envie de rentrer ! ( non promettre je ne être pas aigrir ahah ) 
 pareil que précédemment … me reposer , dormir , lire , chanter , réviser … réaliser tout ce activité dans mon chambre que je considere comme être mon safe place ! ce être généralement mon passe temps préférer puisqu’ il se faire dans le calme , seul(e ) et que je pouvoir recharger mon batterie social / mental !",0
"je préférer explorer au maximum , ce est - à - dire visiter le pays , si possible plusieurs ville , un musée de endroit insolite etc. je préférer le ville à le plage personnellement , et je préférer avoir un activité tout le jour plutôt que de rester allongé sur un transat et prendre le soleil . goûter le nourriture local être très important aussi . je vouloir me imprégner au maximum de le culture et de pays visiter , et ne pas rester cloîtrer ou isolé en profiter juste de son beau temps ou autre , je trouver ça inutile , on pouvoir faire cela en rester en France . 
 je aimer regarder un film , un série , dessiner , faire de punch needle , aller sur le réseau social ( beaucoup trop malheureusement ) , je adorer YouTube aussi . je être plus porter sur le art . je essayer de lire un livre quelquefois même si ce être compliquer de rester concentrer , je aimer beaucoup aussi le manga et le bd ( lui être plus facile à lire pas de problème de concentration ) . je adorer aller au cinéma quand je pouvoir .",0
"mon type de vacance préférer être le vacance où on se balade pour découvrir un lieu où de paysage . ce que je aimer , ce être le découverte . je ne penser pas que aller en vacance au même endroit soir quelque chose qui me aller 
 mon passe temps favori être le lecture ( notemment le lecture de manga ) et le tir à le arc . le lecture car je aimer beaucoup lire et je aimer beaucoup le manga et le tir à le arc car ce être un sport qui me plaire énormément",0
"mon type de vacance préférer être le campagne , je aimer explorer le nature et être en contact avec mon sens 
 mon passer temps : le cuisine , le peinture , regarder un série 
 je aimer tout ce qui être manuel et qui toucher à mon créativité et qui correspondre à mon valeur personnel",0
"pour moi , aller en vacance me permettre de faire un pause dans mon petit routine anxiogène d’ étudiant . alors dès que je n’ arriver plus à suivre , je fuir . pouvoir importer , le lieu , si c’ être seulement 1 week - end ou 1 mois . j’ aimer voyager seul et me sentir dépayser . découvrir le nourriture local , le joli paysage offrir par le nature , flâner dans le rue . voir le lieu historique et culturel , visiter un exposition etc. j’ aimer également le mode alors je être obliger d’ acheter un tenue de là où je me trouver , et visiter le librairie . acheter également un souvenir pour mon proche . j’ avoir quand même ce besoin de faire un pause où je reste à le maison sur hôtel juste pour me reposer et lire un livre par exemple . 
 j’ avoir certain phase où je préférer le activité intérieur , lire , broder , regarder un série , peindre . j’ aimer beaucoup écrire , et organiser tout mon vie dans un carnet , je passer un heure à utiliser notion car j’ adorer avoir le contrôle sur tout ; et diriger tout à mon manière . mais il m’ arriver d’ adorer sortir faire le fête avec un cercle restreindre d’ ami , dépenser mon argent dans un vêtement . j’ adorer offrir un cadeau et cuisiner pour mon proche , c’ être un manière pour moi d’ exprimer mon amour . d’ ailleurs , j’ exprimer mon amour en organiser le vie de mon proche , j’ aimer le aider dans leur tâche dont il avoir de mal à faire , comme faire son emploi de temps , son to - do list , un peu comme un parent le faire à son enfant .",0
"pour moi mon vacance préférer , c’ être vraiment être déconnecter , loin de tout , pas forcément partir juste être tranquille chez moi suffire . de préférence seul pour pouvoir me ressourcer à 100 pourcent , car c’ être le seul moment où je pouvoir arrêter de penser au travail , à mon problème et surtout le seul moment ou je n’ absorber pas le émotion de autre et être constamment entrain de mettre un barrière pour me protéger . le vacance pour moi c’ être vraiment souffler , et un ressourcement , être devant netfli , chill avec mon thé mon couverture c’ être de vacance ou alors prendre de temps pour moi . je être très sensible au monde extérieur et à individu , et chaque jour je être épuiser par ce que je ressentir intérieurement c’ être pourquoi être seul pour moi c’ être de vacance :) 
 mon passe-temps préférer , en tout premier je dire le danse , c’ être un de mon passion depuis que j’ avoir 5 an , j’ avoir jamais arrêter et j’ avoir tester beaucoup de style différent , pour moi qui être sensible c’ être un moyen d’ exprimer mon émotion par l’ art qu’ être le danse . après j’ aimer énormément lire , notamment pour le côté échappatoir , j’ avoir énormément lire lors d’ un période difficile de mon vie et quelque part cela m’ avoir sauver , partir dans un autre univers , c’ être un moyen d’ oublier ce qui m’ entourer et tout mon difficulté de moment . sinon , j’ apprécier énormément le musique , pour moi cela m’ accompagner pour chaque activité de quotidien , le ménage , faire à manger et même lire , pour moi un vie sans musique je trouver ça fade . pouvoir en ce moment j’ aimer énormément jouer à jeu vidéo , comme Genshin Impact ou Zelda qui avoir un graphisme et un univers super bien réaliser , ou alors animal crossing pour un moment détente , le jeu vidéo c’ être un activité aussi que je partager avec un ami et c’ être agréable d’ être en collectif cela me changer . je penser que ce être mon quatre passe-temps principal :)",0
"pendant le vacance , je apprécier de voyager et de échanger avec mon ami proche et mon famille ; en contempler le paysage pittoresque , ce moment de partage être véritablement pour moi un bouffée de air frais face à le complexité parfois accablant de le société . 
 concerner mon passe-temps , je aimer bien regarder le série sur Netflix et me octroyer souvent de moment de détente au lit , surtout après un journée charger de cours intense , parce que ce chose -là pouvoir me recharger le batterie pour moi . 
 de plus , je aimer pratiquer le tennis régulièrement pour maintenir un bon condition physique et évacuer un petit peu le tension .",0
"pour moi , n’ importer quoi être suffisant tant que je être dépayser et que bien sûr , je n’ avoir rien qui me peser sur le épaule pour profiter au max . aller par exemple à le montagne ou mon mode de vie faire un tour de 180 degré , c’ être pile ce que j’ aimer , ou alors dans un pays à l’ autre bout de monde ou le culture être complètement différent ( tant que c’ être pas sur un île couper de monde n’ abuser pas ) . enfin bref , un endroit où je pouvoir couper mon vie de ce qu’ lui être vraiment et vivre comme un nouveau personne , en rencontrer de nouveau personnalité etc et me lâcher malgré mon personnalité timide , c’ être parfait . 
 j’ aimer tout ce qui se rapporter l’ art car cela me donne l’ impression d’ avoir un sens à ce que je être , j’ aimer lire et écrire , que ce être de texte simple , un poésie , ou de chanson , j’ aimer dessiner et peindre , j’ aimer coudre bien évidemment car avec en accord avec l’ art , le mode et le haut couture être mon premier passion depuis toujours , j’ aimer aussi danser , chanter et rapper ( le rap en tout premier , car cela permettre de m’ exprimer d’ autant plus qu’ il falloir produire le chanson en entier ) , enfin bref , j’ aimer ce qui ne me limite à rien .",0
"être 3/4 jour avec plein de visite de découverte    être 1/2/3 semaine sans vraiment sortir de le endroit où je être et vivre un vie tranquille   se faire à manger dormir lire en compagnie d ' ami où seul 
 visiter apprendre de nouveau chose ou lire . lire être mon activité préférer de tout le temps",0
"je préférer passer un vacance de «   découverte   » , c’ est - à - dire visiter le pays tout en apprendre le culture de son population car je trouver qu’ il n’ y avoir pas plus bel façon de voyager que celui-ci 
 le vacance «   détent   » , on aller dire , ne m’ intéresser vraiment pas ou alors celer constituer seulement un laps de temps très court sur le totalité de mon voyage 
 mon passe-temps préférer être regarder un série ( et quelque fois de film ) , le lecture , le sortie entrer copine et en particulier lorsqu’ on se promener à pied quelque part ( peu importer l’ endroit ce qui importer ce être surtout le personne ) , mais également l’ apprentissage comme celui d’ un nouveau langue ou d’ un domaine nouveau tel que l’ astronomie , le géopolitique ou encore l’ histoire !",0
